"","cond","PPmale","PPfemale","PPdepta","PPdeptb","SSmale","SSfemale","SSdepta","SSdeptb","PPmean","SUmean","SWmean","PPSU","PPSW","PPSU2","PPSW2"
"1","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.6,3.59991123168446,3.59989480799201,3.59989480799201,0.00845984872466386,0.00845984872466386,1.64236924546923e-05,1.64236924546876e-05
"2","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.7,3.6000086129756,3.62343594688312,3.59990600573683,0.0234692622377991,0.00763991809101543,-0.0234273339075189,0.000102607238764272
"3","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.8,3.60004148968846,3.64219988506139,3.60009590942544,0.0421583953729332,0.00691672700536394,-0.0421583953729332,-5.44197369847016e-05
"4","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.9,3.60001933296966,3.65706729579722,3.59993699688649,0.0570479628275644,0.00640329401031697,-0.0570479628275644,8.23360831666127e-05
"5","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.6,3.60003597594459,3.5741070191948,3.59990829691651,0.0259728187595277,0.00817863829157585,0.025928956749796,0.000127679028077911
"6","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.7,3.59999892540339,3.60008458225298,3.60008458225298,0.00733052346508436,0.00733052346508436,-8.56568495934518e-05,-8.56568495934522e-05
"7","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.8,3.60005400377417,3.62067724956807,3.60015866397502,0.0206574072190425,0.00670988161318472,-0.0206232457938973,-0.000104660200845203
"8","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.9,3.59997221399062,3.6370925247912,3.59989839360437,0.0371203108005806,0.00613116106750354,-0.0371203108005806,7.38203862497946e-05
"9","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.6,3.59998918924025,3.55013575102601,3.60012830893887,0.0498534382142387,0.00805349438339652,0.0498534382142387,-0.000139119698624573
"10","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.7,3.60003159889179,3.57782990535544,3.60006195045457,0.0222407716914779,0.00712389543874676,0.022201693536348,-3.03515627825109e-05
"11","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.8,3.60001258124717,3.60018184207474,3.60018184207474,0.0066381809148397,0.00663818091483971,-0.000169260827567595,-0.0001692608275676
"12","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.9,3.59986017982629,3.61801021895452,3.59982742354531,0.0181858394003983,0.0058926122689469,-0.018150039128226,3.27562809870205e-05
"13","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.6,3.60008061757777,3.52722202222449,3.59991239129291,0.0728585953532813,0.00796132284899973,0.0728585953532813,0.000168226284861261
"14","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.7,3.59999725097351,3.55677528901348,3.6000009165207,0.0432219619600319,0.00698769666542933,0.0432219619600319,-3.66554718528902e-06
"15","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.8,3.60008004388566,3.58048525778295,3.59999478146832,0.0196224135907831,0.00636075687603435,0.0195947861027097,8.52624173403462e-05
"16","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.9,3.60008096986027,3.6000736565488,3.6000736565488,0.00588283979674543,0.00588283979674543,7.3133114626978e-06,7.31331146269612e-06
"17","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.6,3.60002465392855,3.62371321049324,3.60017747979453,0.0237372463114198,0.00771128559323067,-0.0236885565646841,-0.000152825865981038
"18","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.7,3.59998550000443,3.64690955008557,3.59985707791655,0.0469240500811426,0.00686844751339436,-0.0469240500811426,0.000128422087876066
"19","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.8,3.59990342204337,3.6654169736453,3.59977654760958,0.0655135516019279,0.00622163397732946,-0.0655135516019279,0.000126874433788446
"20","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.9,3.59999275594438,3.68061068306389,3.59989199863617,0.0806179271195148,0.00567194972700963,-0.0806179271195148,0.000100757308203682
"21","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.6,3.6001122430005,3.59791550458997,3.60019350543964,0.00755671244679463,0.00741381211193423,0.00219673841053007,-8.12624391469629e-05
"22","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.7,3.59995728628033,3.62353694260015,3.60000598171267,0.0235910336430231,0.00667623064720156,-0.0235796563198181,-4.86954323385447e-05
"23","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.8,3.60000909701661,3.64409668037536,3.60006151648011,0.0440875833587514,0.00599086209064594,-0.0440875833587514,-5.24194635025335e-05
"24","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.9,3.60006487992948,3.66070119325818,3.59994728256313,0.0606363133287032,0.00541583131303248,-0.0606363133287032,0.00011759736634194
"25","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.6,3.60002609920798,3.57353449399479,3.60001428730256,0.026495246726052,0.00727487469475954,0.0264916052131873,1.18119054198087e-05
"26","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.7,3.59989444265212,3.60115995521102,3.59985725220815,0.00651060148414525,0.00648860844832322,-0.00126551255890443,3.71904439746547e-05
"27","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.8,3.60005065792837,3.62370269131656,3.60017701756153,0.0236533072034376,0.0058254596381496,-0.0236520333881958,-0.000126359633163423
"28","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.9,3.59990582658408,3.64165830519306,3.59995018365385,0.0417524786089776,0.00519601321869696,-0.0417524786089776,-4.43570697722921e-05
"29","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.9,0.6,3.6000549990637,3.55077779928746,3.59998531378147,0.0492771997762432,0.0071288618498125,0.0492771997762432,6.9685282233841e-05
"30","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.9,0.7,3.59991582484545,3.58015318962722,3.59987497647436,0.0197875447470998,0.00631744535579371,0.0197626352182267,4.08483710914386e-05
"31","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.9,0.8,3.5999335841603,3.60388877104709,3.59986867509496,0.00650642140433415,0.00565793928935743,-0.00395518688678304,6.4909065341974e-05
"32","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.9,0.9,3.59992578475651,3.62342978448496,3.59990856923625,0.0235047071864091,0.00509902400609895,-0.0235039997284531,1.72155202582143e-05
"33","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.6,3.60001226262265,3.64207213759469,3.59996033784591,0.0420598749720432,0.00697521931114193,-0.0420598749720432,5.19247767367744e-05
"34","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.7,3.60007139011373,3.66587754914712,3.60022405833114,0.0658061590333872,0.00614781206539775,-0.0658061590333872,-0.000152668217406073
"35","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.8,3.6000437996539,3.68417874587951,3.59998796589901,0.0841349462256086,0.0055384797695043,-0.0841349462256086,5.58337548924186e-05
"36","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.9,3.60005234591914,3.69930509450544,3.60005685564205,0.0992527485863031,0.00501169842074604,-0.0992527485863031,-4.50972291057741e-06
"37","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.7,0.6,3.59999425469483,3.61627292298767,3.59995703695554,0.0164410276677745,0.00678779978027561,-0.0162786682928453,3.7217739290859e-05
"38","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.7,0.7,3.60003883052,3.64217120388175,3.60005959015414,0.0421323733617502,0.00595436243442135,-0.0421323733617502,-2.07596341336997e-05
"39","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.7,0.8,3.59997657167942,3.66253521799655,3.59989488576969,0.0625586463171315,0.00533315701092643,-0.0625586463171315,8.16859097285442e-05
"40","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.7,0.9,3.59997691217893,3.67922002801892,3.59991489128186,0.0792431158399897,0.00475401574917115,-0.0792431158399897,6.20208970647017e-05
"41","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.8,0.6,3.60000537693901,3.59210997284333,3.59998245123795,0.009308402937072,0.00662846410837401,0.00789540409567427,2.29257010593999e-05
"42","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.8,0.7,3.60007722786636,3.62000148294536,3.60011997887824,0.0199443787374043,0.00586030528675994,-0.0199242550789998,-4.27510118836995e-05
"43","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.8,0.8,3.60001572663538,3.64219139378854,3.60008574386726,0.0421756671531675,0.00514134231345243,-0.0421756671531675,-7.00172318813619e-05
"44","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.8,0.9,3.5999766002029,3.6602387842721,3.59995391349923,0.0602621840692023,0.00450058439582,-0.0602621840692023,2.26867036627751e-05
"45","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.9,0.6,3.59999643023753,3.56918751935222,3.59981082085959,0.0308089108853087,0.00650758452225137,0.0308089108853087,0.00018560937794261
"46","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.9,0.7,3.60002486820574,3.59879355998716,3.59990558384478,0.00565442955799044,0.00572333414791926,0.00123130821858153,0.000119284360959171
"47","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.9,0.8,3.60011211904215,3.6226266227576,3.60004115943183,0.0225146228945248,0.00495331349874418,-0.0225145037154503,7.09596103184643e-05
"48","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.8,0.9,0.9,3.60003281945871,3.64217201480031,3.60006597440846,0.0421391953415945,0.00442109157527693,-0.0421391953415945,-3.31549497472456e-05
"49","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.6,0.6,3.59992327156289,3.65713285210854,3.5999647986845,0.0572095805456593,0.00646777810435979,-0.0572095805456593,-4.15271216097036e-05
"50","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.6,0.7,3.59999249165905,3.68047054180991,3.59981755522797,0.0804780501508598,0.00561710426375755,-0.0804780501508598,0.000174936431075645
"51","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.6,0.8,3.60003062467669,3.69932530894946,3.60005836065893,0.0992946842727747,0.00502967070830672,-0.0992946842727747,-2.77359822443684e-05
"52","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.6,0.9,3.60001214524621,3.71431058755911,3.60000035803891,0.114298442312892,0.00444986199856164,-0.114298442312892,1.17872072987881e-05
"53","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.7,0.6,3.60003688804313,3.63143442451894,3.60010299888792,0.0313975364758148,0.00628715627004323,-0.0313975364758148,-6.61108447962506e-05
"54","pos_norm_norm_neg",0.2,0.8,0.2,0.8,0.6,0.9,0.7,0.7,3.60012830458033,3.65728370575797,3.60014654753625,0.0571554011776422,0.00543537060200755,-0.0571554011776422,-1.82429559243922e-05
