"","cond","PPmale","PPfemale","PPdepta","PPdeptb","SSmale","SSfemale","SSdepta","SSdeptb","PPmean","SUmean","SWmean","PPSU","PPSW","PPSU2","PPSW2"
"1","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.6,3.99993124014192,4.00003399351881,4.00003399351881,0.00823632928010691,0.00823632928010691,-0.000102753376887349,-0.000102753376887344
"2","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.7,3.99990075449139,3.99993319204543,3.99992175365075,0.00745174854640749,0.00748602799481022,-3.24375540448845e-05,-2.09991593678714e-05
"3","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.8,3.99999678228417,4.00008491805724,4.00008742934691,0.00675366123644874,0.00680632026406472,-8.81357730717955e-05,-9.06470627484617e-05
"4","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.9,3.99996113227492,4.00000040927569,4.00000480517295,0.006071331544468,0.006234640952397,-3.92770007680418e-05,-4.36728980254015e-05
"5","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.6,4.00005752280185,4.00022676075187,4.00023183934255,0.00805149015841835,0.00807010357371479,-0.000169237950019454,-0.000174316540703552
"6","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.7,3.99996833544663,3.99995560373839,3.99995560373839,0.00721677064507007,0.00721677064507007,1.27317082348331e-05,1.27317082348313e-05
"7","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.8,3.99989095512888,3.999888349717,3.99989580253921,0.00658347461223023,0.00659595704326043,2.60541188090904e-06,-4.84741032926328e-06
"8","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.9,4.00009471309453,4.00000748901265,4.00000969149847,0.00606498749545148,0.00613748943886877,8.72240818785863e-05,8.50215960550797e-05
"9","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.6,4.00008955278655,4.00021363140398,4.00022321824552,0.00773334593291991,0.00782943495701211,-0.000124078617423782,-0.000133665458968395
"10","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.7,3.99994007816241,3.99986252617453,3.99986559909621,0.00710748652774584,0.00711933104305768,7.75519878727993e-05,7.44790661973183e-05
"11","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.8,4.00014409430246,4.00020702537225,4.00020702537225,0.00644731071660503,0.00644731071660503,-6.2931069791644e-05,-6.29310697916468e-05
"12","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.9,4.00007856103135,4.00019801621805,4.00020674332902,0.00585956265409922,0.00587149555427041,-0.000119455186701215,-0.000128182297671131
"13","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.6,4.00012225849302,4.00007055950467,4.00004721492967,0.00775216194998477,0.00791747640810317,5.16989883490218e-05,7.50435633490956e-05
"14","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.7,4.00004376037405,4.00009165853375,4.00010409718426,0.00702525280888584,0.00708300147840557,-4.78981596958134e-05,-6.03368102132075e-05
"15","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.8,4.00000725605344,4.00010930886491,4.00010137928228,0.00627383288314349,0.00628659252579061,-0.000102052811469673,-9.41232288413783e-05
"16","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.9,0.9,3.99991645228886,3.99990435012347,3.99990435012347,0.00566442550534214,0.00566442550534214,1.21021653949603e-05,1.21021653949549e-05
"17","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.6,3.99993718561632,3.99993370463784,3.99995177607945,0.00753208039632588,0.00754520909771867,3.48097847244242e-06,-1.45904631319483e-05
"18","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.7,4.00008130321741,4.00011071724538,4.00011323964081,0.00660714742897833,0.00664936485738212,-2.94140279716148e-05,-3.19364234027876e-05
"19","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.8,4.00005929016802,4.00005969287403,4.00004439286762,0.00591146760423592,0.00601152801133604,-4.02706013635482e-07,1.48973003999794e-05
"20","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.6,0.9,4.00019216571386,4.00014136722396,4.00012779009866,0.00542161057789599,0.00561001588229328,5.07984898915406e-05,6.43756151972887e-05
"21","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.6,3.9999785597073,3.99985877906443,3.99987398641882,0.00727038086135639,0.00730353884990146,0.00011978064287035,0.000104573288481183
"22","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.7,3.99999723761867,3.99990691720264,3.9999059848994,0.00648555716550194,0.00651200157095248,9.03204160270629e-05,9.12527192680844e-05
"23","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.8,3.99992528818574,3.99989384385569,3.99990325530805,0.00585238426161842,0.0058945184605501,3.14443300495762e-05,2.2032877687439e-05
"24","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.7,0.9,3.99989926714637,3.99986782130212,3.99986262180674,0.00525150064886736,0.00533042497006702,3.14458442426364e-05,3.66453396250155e-05
"25","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.6,3.99998551323425,4.00004627404795,4.00004260935325,0.0070077339620561,0.00711288057476273,-6.07608137012269e-05,-5.70961189990874e-05
"26","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.7,4.00006353802251,4.00002435572351,4.00003016501756,0.00633683930029156,0.00637402321436766,3.91822989960304e-05,3.33730049490097e-05
"27","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.8,3.999993649852,3.99992767170033,3.99992220511019,0.00574841553065687,0.0057691693218437,6.59781516723272e-05,7.14447418097534e-05
"28","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.8,0.9,3.99990182516088,3.99985383744653,3.99984974800148,0.0049877117365677,0.00504291691576954,4.79877143515435e-05,5.20771594047955e-05
"29","neg_neg_neg_neg",0.2,0.8,0.2,0.8,0.6,0.7,0.9,0.6,3.99996242095285,3.99999778319364,3.99999820242476,0.0067929276937461,0.00694721122927165,-3.53622407895586e-05,-3.57814719146105e-05
