"","cond","PPmale","PPfemale","PPdepta","PPdeptb","SSmale","SSfemale","SSdepta","SSdeptb","PPmean","SUmean","SWmean","PPSU","PPSW","PPSU2","PPSW2"
"1","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.6,3.59989917279228,3.59989744716838,3.59989744716838,0.00816848001451364,0.00816848001451364,1.72562390644834e-06,1.72562390644288e-06
"2","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.7,3.59997877653248,3.64705278204304,3.59998953730659,0.047074005510562,0.00750043535482278,-0.047074005510562,-1.07607741135764e-05
"3","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.8,3.59994803836684,3.68412331919934,3.59988191988683,0.0841752808325006,0.00685506522027625,-0.0841752808325006,6.61184800128604e-05
"4","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.6,0.9,3.59988831482322,3.71416986539355,3.59988007348809,0.114281550570332,0.00629185426191485,-0.114281550570332,8.24133513089902e-06
"5","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.6,3.6000603694857,3.54852565658305,3.60013471714954,0.0515347129026524,0.00807116123887059,0.0515347129026524,-7.43476638373143e-05
"6","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.7,3.59994816567403,3.59993295702105,3.59993295702105,0.00725532559752086,0.00725532559752086,1.52086529812506e-05,1.52086529812505e-05
"7","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.8,3.60012763794704,3.64098603851241,3.59995371872728,0.0408584005653795,0.00658484440126092,-0.0408584005653795,0.000173919219757394
"8","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.7,0.9,3.6000822655536,3.67452663370103,3.60011161115282,0.0744443681474255,0.00610641616405786,-0.0744443681474255,-2.93455992201915e-05
"9","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.6,3.60002117547771,3.4999615184698,3.59996202638523,0.100059657007905,0.00798622954502234,0.100059657007905,5.91490924746338e-05
"10","pos_neg_pos_neg",0.2,0.8,0.2,0.8,0.6,0.6,0.8,0.7,3.60016130871095,3.55579411207464,3.60025277852509,0.0443671966363069,0.00704175186070417,0.0443671966363069,-9.14698141405149e-05
